person_id,year,status,avg_absences
73734,2014,Active,9.0346165
125657,2014,,9.0341721
433,2014,Active,9.0339975
123918,2014,Active,9.0337067
94031,2014,Active,9.0333376
86808,2014,Active,9.0331316
49049,2014,Active,9.0323868
37562,2014,Active,9.0320511
58713,2014,Active,9.0319109
30657,2014,,9.0316772
125438,2014,Active,9.0316324
134848,2014,Active,9.0309763
99035,2014,Active,9.030838
60345,2014,Inactive,9.0306568
57843,2014,Active,9.0301752
105217,2014,Active,9.0301361
65120,2014,Active,9.0299416
113783,2014,Active,9.0298376
58896,2014,Active,9.0295534
121294,2014,Active,9.0294218
111876,2014,Active,9.0294104
38882,2014,Active,9.0292292
121487,2014,Active,9.0290451
120094,2014,Active,9.0287724
120584,2014,Active,9.0285187
28788,2014,Active,9.0283327
118216,2014,Active,9.0282688
65930,2014,,9.028079
19504,2014,Active,9.027771
47252,2014,Active,9.0275717
47258,2014,Active,9.0274601
60888,2014,Active,9.0270863
98265,2014,,9.0264654
112933,2014,Active,9.0263443
74723,2014,Active,9.0262842
115666,2014,Active,9.0262136
33361,2014,Active,9.0259361
117023,2014,Active,9.0258131
49054,2014,Active,9.0257702
33301,2014,Active,9.0257607
97677,2014,Active,9.0257587
57894,2014,Active,9.0257397
53555,2014,,9.0253878
123383,2014,Active,9.0248394
41859,2014,Active,9.0246449
108312,2014,Active,9.0245914
44317,2014,Active,9.0244913
74350,2014,Active,9.0243235
110837,2014,Active,9.0241814
84623,2014,Active,9.0240049
124158,2014,Active,9.0238562
113016,2014,Active,9.0237684
21251,2014,,9.0236979
40739,2014,Active,9.0235233
59783,2014,Active,9.0235128
24650,2014,Active,9.023468
119791,2014,Active,9.0233545
68944,2014,Active,9.0232363
41769,2014,,9.0229397
34932,2014,,9.0229092
88904,2014,Active,9.0226631
66611,2014,Active,9.0226307
125923,2014,,9.0226097
93168,2014,Active,9.0222988
51316,2014,,9.0217056
63274,2014,Active,9.0215988
114989,2014,Active,9.0215874
61814,2014,Active,9.0213213
105528,2014,Active,9.0210142
112398,2014,Active,9.0209455
47411,2014,Active,9.0202665
59203,2014,Active,9.019887
101718,2014,Active,9.0196209
46246,2014,Active,9.0195847
62322,2014,Active,9.01933
107865,2014,Active,9.0192366
45995,2014,Active,9.0192108
114621,2014,Active,9.0191431
104499,2014,Active,9.0186605
53886,2014,Active,9.0185232
56853,2014,Active,9.0184803
129966,2014,,9.0184774
40337,2014,Active,9.0181274
125317,2014,Active,9.0179062
74929,2014,,9.017808
70341,2014,,9.0177107
123368,2014,,9.0174189
106838,2014,,9.0173979
130287,2014,,9.0173578
110429,2014,Active,9.0171766
56678,2014,Active,9.0171566
41172,2014,Active,9.0168924
121649,2014,Active,9.0168419
77469,2014,Inactive,9.0162325
128694,2014,Active,9.0157547
113696,2014,Active,9.0154057
47390,2014,,9.0153494
31848,2014,Active,9.0149145
52068,2014,Active,9.0147781
62833,2014,Active,9.0147333
89034,2014,Active,9.0145435
84899,2014,Active,9.0140104
101093,2014,,9.0139523
98188,2014,Active,9.0136814
119266,2014,Active,9.0133762
106777,2014,Active,9.0133057
33670,2014,Active,9.0132799
121037,2014,Active,9.0127869
29484,2014,Active,9.0127525
60031,2014,,9.012681
39640,2014,Active,9.0126038
116739,2014,Active,9.0121746
134824,2014,Active,9.0120792
66421,2014,Active,9.0116606
118283,2014,Active,9.0114193
33043,2014,Active,9.011384
65888,2014,,9.0113487
59454,2014,Active,9.01124
70147,2014,Active,9.0106945
95467,2014,Active,9.0106821
95389,2014,Active,9.010664
44293,2014,Active,9.0106125
100208,2014,Active,9.0104904
117815,2014,Active,9.0104589
60425,2014,,9.0102854
114840,2014,,9.0100689
89155,2014,Active,9.0089693
54811,2014,Active,9.0088034
28878,2014,Active,9.0087938
114755,2014,Active,9.0082846
105820,2014,Active,9.0080376
55854,2014,,9.0078831
80907,2014,Active,9.0077009
51294,2014,Active,9.0075445
116531,2014,Active,9.0072327
128687,2014,Active,9.0064631
56742,2014,Active,9.0056963
84609,2014,Active,9.0054951
78787,2014,Active,9.0046892
109283,2014,,9.0046396
84083,2014,,9.0045147
94840,2014,,9.0044794
70987,2014,Active,9.0043201
7262,2014,,9.0038376
103005,2014,Active,9.0034838
25681,2014,Active,9.003253
112600,2014,Active,9.0029192
46623,2014,Active,9.0025063
89689,2014,Active,9.0023632
38,2014,Active,9.0017462
109202,2014,Active,9.0013676
23914,2014,,9.0008535
104264,2014,,9.0007267
112004,2014,Active,9.0003262
130280,2014,Active,9.0000849
103940,2014,,8.9999495
38149,2014,Active,8.9998569
72966,2014,Active,8.9997931
51918,2014,Active,8.9997921
82437,2014,,8.9991446
34669,2014,Active,8.9989567
18557,2014,Active,8.9989386
8817,2014,Active,8.9984274
112819,2014,Active,8.9978971
48187,2014,,8.9978676
115779,2014,Active,8.997716
54085,2014,Active,8.9976587
102594,2014,Active,8.9974546
51181,2014,Active,8.9970942
31219,2014,Inactive,8.9969254
124013,2014,Active,8.9966764
123001,2014,Active,8.9966164
40588,2014,Active,8.996439
11115,2014,,8.9961386
34518,2014,Active,8.9960938
115409,2014,Active,8.9960938
15505,2014,Active,8.9959526
33665,2014,Active,8.9958
30945,2014,Active,8.9951229
70723,2014,Active,8.9950571
85972,2014,Active,8.9950123
123957,2014,Active,8.9947262
124635,2014,Active,8.9941292
50507,2014,Active,8.9939966
52140,2014,Active,8.9931231
62179,2014,Active,8.9930935
125178,2014,Active,8.993082
88119,2014,Active,8.9930172
92840,2014,Active,8.9926319
51579,2014,Active,8.9923658
24940,2014,Active,8.9922886
108434,2014,Active,8.9920788
113340,2014,Active,8.9918718
38830,2014,Active,8.9918699
100873,2014,Active,8.9917164
120998,2014,,8.9916725
